text;label;language;tokens
لو حد محتاج Resources للـ Data Structures هبعتها له;clean;mixed;['لو', 'حد', 'محتاج', 'Resources', 'للـ', 'Data', 'Structures', 'هبعتها', 'له']
هل في حد مهتم بعمل فريق للمنافسه الجايه؟;clean;ar;['هل', 'في', 'حد', 'مهتم', 'بعمل', 'فريق', 'للمنافسه', 'الجايه؟']
ربنا يسهل علي الجميع في الامتحانات الجايه;clean;ar;['ربنا', 'يسهل', 'علي', 'الجميع', 'في', 'الامتحانات', 'الجايه']
عندي فرصه تدريب في شركه كويسه، اللي مهتم يعرفني;clean;ar;['عندي', 'فرصه', 'تدريب', 'في', 'شركه', 'كويسه،', 'اللي', 'مهتم', 'يعرفني']
يا ريت اللي خلص تدريب يقولي استفاد ايه;clean;ar;['يا', 'ريت', 'اللي', 'خلص', 'تدريب', 'يقولي', 'استفاد', 'ايه']
سجلت في كورس جديد واحس انه مفيد جدًا;clean;ar;['سجلت', 'في', 'كورس', 'جديد', 'واحس', 'انه', 'مفيد', 'جدًا']
شكر خاص للدكتور علي شرحه الواضح;clean;ar;['شكر', 'خاص', 'للدكتور', 'علي', 'شرحه', 'الواضح']
لو حد محتاج اي مساعده في الباك اند يقولي;clean;ar;['لو', 'حد', 'محتاج', 'اي', 'مساعده', 'في', 'الباك', 'اند', 'يقولي']
بوست بسيط احب اشكر فيه كل صحابي;clean;ar;['بوست', 'بسيط', 'احب', 'اشكر', 'فيه', 'كل', 'صحابي']
محتاج أعرف إزاي أبدأ في الـ Cloud Computing;clean;mixed;['محتاج', 'أعرف', 'إزاي', 'أبدأ', 'في', 'الـ', 'Cloud', 'Computing']
اتمني للجميع يوم مليان انجاز;clean;ar;['اتمني', 'للجميع', 'يوم', 'مليان', 'انجاز']
هل في اخبار عن نتايج البحث العلمي؟;clean;ar;['هل', 'في', 'اخبار', 'عن', 'نتايج', 'البحث', 'العلمي؟']
لو حد مهتم نتشارك مذاكره الماده دي;clean;ar;['لو', 'حد', 'مهتم', 'نتشارك', 'مذاكره', 'الماده', 'دي']
حضرت ورشة UIUX وكانت روعة;clean;mixed;['حضرت', 'ورشة', 'UIUX', 'وكانت', 'روعة']
بحب اجواء التعاون في الجروب ده;clean;ar;['بحب', 'اجواء', 'التعاون', 'في', 'الجروب', 'ده']
اللي محتاج ملفات المحاضرات هيلاقيها في الكومنت;clean;ar;['اللي', 'محتاج', 'ملفات', 'المحاضرات', 'هيلاقيها', 'في', 'الكومنت']
اسبوع صعب بس الحمد لله عدّي;clean;ar;['اسبوع', 'صعب', 'بس', 'الحمد', 'لله', 'عدّي']
ربنا يبارك في كل حد ساعدني الفتره اللي فاتت;clean;ar;['ربنا', 'يبارك', 'في', 'كل', 'حد', 'ساعدني', 'الفتره', 'اللي', 'فاتت']
براجع المشاريع القديمه لحد ما نبدا الجديد;clean;ar;['براجع', 'المشاريع', 'القديمه', 'لحد', 'ما', 'نبدا', 'الجديد']
شكراً للكليه علي توفير معمل مجهز بالشكل ده;clean;ar;['شكراً', 'للكليه', 'علي', 'توفير', 'معمل', 'مجهز', 'بالشكل', 'ده']
شاركت فايلات زياده ممكن تفيدكم;clean;ar;['شاركت', 'فايلات', 'زياده', 'ممكن', 'تفيدكم']
متحمس جدًا لبدء السنه الاخيره;clean;ar;['متحمس', 'جدًا', 'لبدء', 'السنه', 'الاخيره']
مبروك لكل اللي خلص التدريب الصيفي;clean;ar;['مبروك', 'لكل', 'اللي', 'خلص', 'التدريب', 'الصيفي']
يا ريت اللي جرب امتحان الماده دي ينصحنا;clean;ar;['يا', 'ريت', 'اللي', 'جرب', 'امتحان', 'الماده', 'دي', 'ينصحنا']
محتاج اقتراحات لشركات كويسه للانترفيو;clean;ar;['محتاج', 'اقتراحات', 'لشركات', 'كويسه', 'للانترفيو']
بسال لو في اي نشاط تطوعي متاح الفتره الجايه;clean;ar;['بسال', 'لو', 'في', 'اي', 'نشاط', 'تطوعي', 'متاح', 'الفتره', 'الجايه']
دعمكم ليا فرق جدًا، شكرًا ليكم;clean;ar;['دعمكم', 'ليا', 'فرق', 'جدًا،', 'شكرًا', 'ليكم']
ان شاء الله الفتره الجايه تكون مليانه نجاحات للجميع;clean;ar;['ان', 'شاء', 'الله', 'الفتره', 'الجايه', 'تكون', 'مليانه', 'نجاحات', 'للجميع']
شكراً لكل من ساعدني في التغلب علي الصعوبات;clean;ar;['شكراً', 'لكل', 'من', 'ساعدني', 'في', 'التغلب', 'علي', 'الصعوبات']
اتمني لكم اسبوع مليان انجازات وفرص جديده;clean;ar;['اتمني', 'لكم', 'اسبوع', 'مليان', 'انجازات', 'وفرص', 'جديده']
احب اشكر جميع اعضاء الجروب علي تعاونهم;clean;ar;['احب', 'اشكر', 'جميع', 'اعضاء', 'الجروب', 'علي', 'تعاونهم']
تجربه حضور الموتمر كانت مفيده جدًا;clean;ar;['تجربه', 'حضور', 'الموتمر', 'كانت', 'مفيده', 'جدًا']
ربنا يوفق الجميع في الخطوات القادمه;clean;ar;['ربنا', 'يوفق', 'الجميع', 'في', 'الخطوات', 'القادمه']
مبروك لكل اللي نجح في الاختبارات الاخيره;clean;ar;['مبروك', 'لكل', 'اللي', 'نجح', 'في', 'الاختبارات', 'الاخيره']
لو حد محتاج افكار لمشروع جديد، اقدر اشارك;clean;ar;['لو', 'حد', 'محتاج', 'افكار', 'لمشروع', 'جديد،', 'اقدر', 'اشارك']
الحمد لله كل شيء تم بنجاح;clean;ar;['الحمد', 'لله', 'كل', 'شيء', 'تم', 'بنجاح']
سعيد جدًا بالتقدم اللي حققناه في المشروع;clean;ar;['سعيد', 'جدًا', 'بالتقدم', 'اللي', 'حققناه', 'في', 'المشروع']
فرصه كويسه لحضور محاضره اضافيه;clean;ar;['فرصه', 'كويسه', 'لحضور', 'محاضره', 'اضافيه']
نزلت المستندات الجديده علي المنصه;clean;ar;['نزلت', 'المستندات', 'الجديده', 'علي', 'المنصه']
يوم التخرج قرب، متحمسه جدًا;clean;ar;['يوم', 'التخرج', 'قرب،', 'متحمسه', 'جدًا']
شكراً لكل من ساعد في تنظيم الحدث الاخير;clean;ar;['شكراً', 'لكل', 'من', 'ساعد', 'في', 'تنظيم', 'الحدث', 'الاخير']
اتمني للجميع الصحه والسعاده دايمًا;clean;ar;['اتمني', 'للجميع', 'الصحه', 'والسعاده', 'دايمًا']
لو في حد محتاج مساعده تقنيه يقدر يسال هنا;clean;ar;['لو', 'في', 'حد', 'محتاج', 'مساعده', 'تقنيه', 'يقدر', 'يسال', 'هنا']
تجربه جديده في البرمجه كانت ممتعه;clean;ar;['تجربه', 'جديده', 'في', 'البرمجه', 'كانت', 'ممتعه']
احب اشارككم بعض الموارد اللي استفدت منها;clean;ar;['احب', 'اشارككم', 'بعض', 'الموارد', 'اللي', 'استفدت', 'منها']
فرصه للتطوع في نشاط جديد، اللي مهتم يكتب;clean;ar;['فرصه', 'للتطوع', 'في', 'نشاط', 'جديد،', 'اللي', 'مهتم', 'يكتب']
مشاركه بسيطه، بس حابه اشكر الفريق كله;clean;ar;['مشاركه', 'بسيطه،', 'بس', 'حابه', 'اشكر', 'الفريق', 'كله']
اتمني لكل زملايي النجاح والتفوق الدايم;clean;ar;['اتمني', 'لكل', 'زملايي', 'النجاح', 'والتفوق', 'الدايم']
الحمد لله خلصنا كل التحديات المطلوبه;clean;ar;['الحمد', 'لله', 'خلصنا', 'كل', 'التحديات', 'المطلوبه']
نزلت لكم فيديو تعليمي ممكن يفيدكم;clean;ar;['نزلت', 'لكم', 'فيديو', 'تعليمي', 'ممكن', 'يفيدكم']
يوم مليان نشاط وحماس للجميع;clean;ar;['يوم', 'مليان', 'نشاط', 'وحماس', 'للجميع']
لو حد محتاج نصايح للمذاكره انا متاحه;clean;ar;['لو', 'حد', 'محتاج', 'نصايح', 'للمذاكره', 'انا', 'متاحه']
احب اشكر الدكتور علي الشرح الواضح والمفيد;clean;ar;['احب', 'اشكر', 'الدكتور', 'علي', 'الشرح', 'الواضح', 'والمفيد']
فرصه ممتازه لحضور كورس جديد علي الانترنت;clean;ar;['فرصه', 'ممتازه', 'لحضور', 'كورس', 'جديد', 'علي', 'الانترنت']
اتمني للجميع متابعه جيده للمحاضرات;clean;ar;['اتمني', 'للجميع', 'متابعه', 'جيده', 'للمحاضرات']
ربنا يوفق الجميع في المشاريع القادمه;clean;ar;['ربنا', 'يوفق', 'الجميع', 'في', 'المشاريع', 'القادمه']
خبر حلو، تم قبولنا في المسابقه الجامعيه;clean;ar;['خبر', 'حلو،', 'تم', 'قبولنا', 'في', 'المسابقه', 'الجامعيه']
سعيد جدًا بالتعاون مع زملايي في الفريق;clean;ar;['سعيد', 'جدًا', 'بالتعاون', 'مع', 'زملايي', 'في', 'الفريق']
لو حد محتاج ملفات المحاضرات انا هبعتها له;clean;ar;['لو', 'حد', 'محتاج', 'ملفات', 'المحاضرات', 'انا', 'هبعتها', 'له']
اتمني لكم يوم مليء بالايجابيه والنجاح;clean;ar;['اتمني', 'لكم', 'يوم', 'مليء', 'بالايجابيه', 'والنجاح']
شكرًا لكل من شارك في الاجتماع الاخير;clean;ar;['شكرًا', 'لكل', 'من', 'شارك', 'في', 'الاجتماع', 'الاخير']
مبسوطه جدًا بالنتايج اللي حصلنا عليها;clean;ar;['مبسوطه', 'جدًا', 'بالنتايج', 'اللي', 'حصلنا', 'عليها']
محتاج رايكم في المشروع قبل التسليم النهايي;clean;ar;['محتاج', 'رايكم', 'في', 'المشروع', 'قبل', 'التسليم', 'النهايي']
اول يوم في التدريب كان مليان تعلم وتجربه;clean;ar;['اول', 'يوم', 'في', 'التدريب', 'كان', 'مليان', 'تعلم', 'وتجربه']
لحمد لله المشروع نجح بشكل ممتاز;clean;ar;['لحمد', 'لله', 'المشروع', 'نجح', 'بشكل', 'ممتاز']
تم حل مشكله المشروع بعد تعاون الجميع;clean;ar;['تم', 'حل', 'مشكله', 'المشروع', 'بعد', 'تعاون', 'الجميع']
good morning everyone hope you all have a productive day;clean;en;['good', 'morning', 'everyone', 'hope', 'you', 'all', 'have', 'a', 'productive', 'day']
congratulations to all the graduates this year;clean;en;['congratulations', 'to', 'all', 'the', 'graduates', 'this', 'year']
does anyone know when certificates will be available;clean;en;['does', 'anyone', 'know', 'when', 'certificates', 'will', 'be', 'available']
im looking for internship recommendations in software development;clean;en;['im', 'looking', 'for', 'internship', 'recommendations', 'in', 'software', 'development']
big thanks to the staff for their support;clean;en;['big', 'thanks', 'to', 'the', 'staff', 'for', 'their', 'support']
just joined the group glad to be here;clean;en;['just', 'joined', 'the', 'group', 'glad', 'to', 'be', 'here']
anyone has the lecture schedule for next semester;clean;en;['anyone', 'has', 'the', 'lecture', 'schedule', 'for', 'next', 'semester']
sharing some photos from todays workshop;clean;en;['sharing', 'some', 'photos', 'from', 'todays', 'workshop']
thank you to everyone who helped me in my project;clean;en;['thank', 'you', 'to', 'everyone', 'who', 'helped', 'me', 'in', 'my', 'project']
does anyone have the pdf for yesterdays lecture;clean;en;['does', 'anyone', 'have', 'the', 'pdf', 'for', 'yesterdays', 'lecture']
proud of our batch and what we achieved this year;clean;en;['proud', 'of', 'our', 'batch', 'and', 'what', 'we', 'achieved', 'this', 'year']
good luck to everyone applying for jobs;clean;en;['good', 'luck', 'to', 'everyone', 'applying', 'for', 'jobs']
can someone help me with my cv;clean;en;['can', 'someone', 'help', 'me', 'with', 'my', 'cv']
hope everyone had a great presentation day;clean;en;['hope', 'everyone', 'had', 'a', 'great', 'presentation', 'day']
looking for teammates for a new graduation project;clean;en;['looking', 'for', 'teammates', 'for', 'a', 'new', 'graduation', 'project']
much appreciation to our instructors for their efforts;clean;en;['much', 'appreciation', 'to', 'our', 'instructors', 'for', 'their', 'efforts']
wishing all students the best of luck;clean;en;['wishing', 'all', 'students', 'the', 'best', 'of', 'luck']
todays lab session was really helpful;clean;en;['todays', 'lab', 'session', 'was', 'really', 'helpful']
does anyone have recommendations for learning react;clean;en;['does', 'anyone', 'have', 'recommendations', 'for', 'learning', 'react']
happy to be part of this alumni community;clean;en;['happy', 'to', 'be', 'part', 'of', 'this', 'alumni', 'community']
sharing useful resources for beginners;clean;en;['sharing', 'useful', 'resources', 'for', 'beginners']
great event today thanks to the organizers;clean;en;['great', 'event', 'today', 'thanks', 'to', 'the', 'organizers']
great event today thanks to the organizers;clean;en;['great', 'event', 'today', 'thanks', 'to', 'the', 'organizers']
hope the next semester goes well for everyone;clean;en;['hope', 'the', 'next', 'semester', 'goes', 'well', 'for', 'everyone']
just wanted to say im grateful for this group;clean;en;['just', 'wanted', 'to', 'say', 'im', 'grateful', 'for', 'this', 'group']
i appreciate everyone who supported me during my project;clean;en;['i', 'appreciate', 'everyone', 'who', 'supported', 'me', 'during', 'my', 'project']
good morning everyone hope you have a productive day;clean;en;['good', 'morning', 'everyone', 'hope', 'you', 'have', 'a', 'productive', 'day']
thank you all for your support on the project;clean;en;['thank', 'you', 'all', 'for', 'your', 'support', 'on', 'the', 'project']
the assignment was completed successfully;clean;en;['the', 'assignment', 'was', 'completed', 'successfully']
excited to attend todays workshop;clean;en;['excited', 'to', 'attend', 'todays', 'workshop']
wishing everyone the best in their exams;clean;en;['wishing', 'everyone', 'the', 'best', 'in', 'their', 'exams']
if anyone needs help with python im available;clean;en;['if', 'anyone', 'needs', 'help', 'with', 'python', 'im', 'available']
summer internship experience was very valuable;clean;en;['summer', 'internship', 'experience', 'was', 'very', 'valuable']
grateful for my teammates continuous support;clean;en;['grateful', 'for', 'my', 'teammates', 'continuous', 'support']
uploaded the required files to the group;clean;en;['uploaded', 'the', 'required', 'files', 'to', 'the', 'group']
the project issue was solved with teamwork;clean;en;['the', 'project', 'issue', 'was', 'solved', 'with', 'teamwork']
id like to share a new idea for our next project;clean;en;['id', 'like', 'to', 'share', 'a', 'new', 'idea', 'for', 'our', 'next', 'project']
im happy to help anyone with the course material;clean;en;['im', 'happy', 'to', 'help', 'anyone', 'with', 'the', 'course', 'material']
the project outcome was excellent thanks to everyone;clean;en;['the', 'project', 'outcome', 'was', 'excellent', 'thanks', 'to', 'everyone']
thanks to the admin for organizing the meeting;clean;en;['thanks', 'to', 'the', 'admin', 'for', 'organizing', 'the', 'meeting']
first day at training was full of learning;clean;en;['first', 'day', 'at', 'training', 'was', 'full', 'of', 'learning']
need your feedback before the final submission;clean;en;['need', 'your', 'feedback', 'before', 'the', 'final', 'submission']
really happy with the results we achieved;clean;en;['really', 'happy', 'with', 'the', 'results', 'we', 'achieved']
thanks to everyone who participated in the last meeting;clean;en;['thanks', 'to', 'everyone', 'who', 'participated', 'in', 'the', 'last', 'meeting']
wishing everyone a positive and successful day;clean;en;['wishing', 'everyone', 'a', 'positive', 'and', 'successful', 'day']
if anyone needs the lecture notes i can share them;clean;en;['if', 'anyone', 'needs', 'the', 'lecture', 'notes', 'i', 'can', 'share', 'them']
really enjoyed collaborating with my team;clean;en;['really', 'enjoyed', 'collaborating', 'with', 'my', 'team']
great news we got accepted into the university competition;clean;en;['great', 'news', 'we', 'got', 'accepted', 'into', 'the', 'university', 'competition']
wishing everyone success in upcoming projects;clean;en;['wishing', 'everyone', 'success', 'in', 'upcoming', 'projects']
hope everyone keeps up with the lectures;clean;en;['hope', 'everyone', 'keeps', 'up', 'with', 'the', 'lectures']
excellent opportunity to join a new online course;clean;en;['excellent', 'opportunity', 'to', 'join', 'a', 'new', 'online', 'course']
thanks to the professor for the clear explanation;clean;en;['thanks', 'to', 'the', 'professor', 'for', 'the', 'clear', 'explanation']
im available to give study tips if anyone wants;clean;en;['im', 'available', 'to', 'give', 'study', 'tips', 'if', 'anyone', 'wants']
today is full of energy and motivation;clean;en;['today', 'is', 'full', 'of', 'energy', 'and', 'motivation']
shared an educational video that could help;clean;en;['shared', 'an', 'educational', 'video', 'that', 'could', 'help']
all required challenges were completed successfully;clean;en;['all', 'required', 'challenges', 'were', 'completed', 'successfully']
wishing all my classmates continuous success;clean;en;['wishing', 'all', 'my', 'classmates', 'continuous', 'success']
just a small share to thank the whole team;clean;en;['just', 'a', 'small', 'share', 'to', 'thank', 'the', 'whole', 'team']
volunteering opportunity available comment if interested;clean;en;['volunteering', 'opportunity', 'available', 'comment', 'if', 'interested']
id like to share some useful resources;clean;en;['id', 'like', 'to', 'share', 'some', 'useful', 'resources']
the new programming experience was fun;clean;en;['the', 'new', 'programming', 'experience', 'was', 'fun']
if anyone needs tech help feel free to ask;clean;en;['if', 'anyone', 'needs', 'tech', 'help', 'feel', 'free', 'to', 'ask']
wishing everyone health and happiness;clean;en;['wishing', 'everyone', 'health', 'and', 'happiness']
thanks to all who helped organize the last event;clean;en;['thanks', 'to', 'all', 'who', 'helped', 'organize', 'the', 'last', 'event']
uploaded the new documents on the platform;clean;en;['uploaded', 'the', 'new', 'documents', 'on', 'the', 'platform']
great chance to attend an extra lecture;clean;en;['great', 'chance', 'to', 'attend', 'an', 'extra', 'lecture']
really happy with the progress we made in the project;clean;en;['really', 'happy', 'with', 'the', 'progress', 'we', 'made', 'in', 'the', 'project']
everything went smoothly thank god;clean;en;['everything', 'went', 'smoothly', 'thank', 'god']
i can share ideas for the next project if needed;clean;en;['i', 'can', 'share', 'ideas', 'for', 'the', 'next', 'project', 'if', 'needed']
congratulations to all who passed the recent tests;clean;en;['congratulations', 'to', 'all', 'who', 'passed', 'the', 'recent', 'tests']
wishing everyone success in the upcoming steps;clean;en;['wishing', 'everyone', 'success', 'in', 'the', 'upcoming', 'steps']
attending the conference was a very useful experience;clean;en;['attending', 'the', 'conference', 'was', 'a', 'very', 'useful', 'experience']
thank you to all group members for their cooperation;clean;en;['thank', 'you', 'to', 'all', 'group', 'members', 'for', 'their', 'cooperation']
wishing you a week full of achievements and opportunities;clean;en;['wishing', 'you', 'a', 'week', 'full', 'of', 'achievements', 'and', 'opportunities']
thanks to everyone who helped me overcome challenges;clean;en;['thanks', 'to', 'everyone', 'who', 'helped', 'me', 'overcome', 'challenges']
انتوا جروب فاشل ومفيش حد بيرد علي اي حاجه;toxic;ar;['انتوا', 'جروب', 'فاشل', 'ومفيش', 'حد', 'بيرد', 'علي', 'اي', 'حاجه']
البوستات هنا كلها تافهه ومبتفدش حد;toxic;ar;['البوستات', 'هنا', 'كلها', 'تافهه', 'ومبتفدش', 'حد']
هو فين الادمن الكسول اللي عمره ما بينظم حاجه؟;toxic;ar;['هو', 'فين', 'الادمن', 'الكسول', 'اللي', 'عمره', 'ما', 'بينظم', 'حاجه؟']
فايه بقي بوستات غبيه كل يوم;toxic;ar;['فايه', 'بقي', 'بوستات', 'غبيه', 'كل', 'يوم']
انتو بتتكلموا في ايه يا جهله؟;toxic;ar;['انتو', 'بتتكلموا', 'في', 'ايه', 'يا', 'جهله؟']
اللي كتب البوست دا واضح انه مش فاهم اي حاجه;toxic;ar;['اللي', 'كتب', 'البوست', 'دا', 'واضح', 'انه', 'مش', 'فاهم', 'اي', 'حاجه']
بلا جامعه بلا وجع دماغ، كلكم مش نافع;toxic;ar;['بلا', 'جامعه', 'بلا', 'وجع', 'دماغ،', 'كلكم', 'مش', 'نافع']
هو في حد هنا محترم يعرف يرد؟;toxic;ar;['هو', 'في', 'حد', 'هنا', 'محترم', 'يعرف', 'يرد؟']
البوست ده سخيف جدًا ومش ليه لازمه;toxic;ar;['البوست', 'ده', 'سخيف', 'جدًا', 'ومش', 'ليه', 'لازمه']
واضح ان محدش في الجروب ده بيستخدم مخه;toxic;ar;['واضح', 'ان', 'محدش', 'في', 'الجروب', 'ده', 'بيستخدم', 'مخه']
كل يوم نفس الكلام الممل، زهقت;toxic;ar;['كل', 'يوم', 'نفس', 'الكلام', 'الممل،', 'زهقت']
انتوا مش لاقيين حاجه مفيده تعملوها؟;toxic;ar;['انتوا', 'مش', 'لاقيين', 'حاجه', 'مفيده', 'تعملوها؟']
الادمن هنا نايم ولا ايه؟;toxic;ar;['الادمن', 'هنا', 'نايم', 'ولا', 'ايه؟']
ردودكم ساذجه ومضيعه للوقت;toxic;ar;['ردودكم', 'ساذجه', 'ومضيعه', 'للوقت']
بطلوا كلام فاضي بقي;toxic;ar;['بطلوا', 'كلام', 'فاضي', 'بقي']
طريقه شرحك وحشه ومش مفهومه;toxic;ar;['طريقه', 'شرحك', 'وحشه', 'ومش', 'مفهومه']
الجروب ده بقي مقرف بسبب البوستات دي;toxic;ar;['الجروب', 'ده', 'بقي', 'مقرف', 'بسبب', 'البوستات', 'دي']
انت بتسال اسيله تافهه جدًا;toxic;ar;['انت', 'بتسال', 'اسيله', 'تافهه', 'جدًا']
محدش هنا بيعرف يتعامل بذوق;toxic;ar;['محدش', 'هنا', 'بيعرف', 'يتعامل', 'بذوق']
اسلوبك مستفز جدًا;toxic;ar;['اسلوبك', 'مستفز', 'جدًا']
اللي داخل يهري ياريت يسكت;toxic;ar;['اللي', 'داخل', 'يهري', 'ياريت', 'يسكت']
واضح ان مفيش حد فاهم حاجه في القسم ده;toxic;ar;['واضح', 'ان', 'مفيش', 'حد', 'فاهم', 'حاجه', 'في', 'القسم', 'ده']
بوست تافه زي صاحبه;toxic;ar;['بوست', 'تافه', 'زي', 'صاحبه']
انت فاشل وما هتنجح ابداً;toxic;ar;['انت', 'فاشل', 'وما', 'هتنجح', 'ابداً']
محدش مهتم باللي بتعمله;toxic;ar;['محدش', 'مهتم', 'باللي', 'بتعمله']
ملكش اي قيمه في الفريق;toxic;ar;['ملكش', 'اي', 'قيمه', 'في', 'الفريق']
دايمًا بتبوظ كل حاجه;toxic;ar;['دايمًا', 'بتبوظ', 'كل', 'حاجه']
انت ضعيف جدًا عقليًا;toxic;ar;['انت', 'ضعيف', 'جدًا', 'عقليًا']
ي حاجه تعملها فاشله;toxic;ar;['ي', 'حاجه', 'تعملها', 'فاشله']
انت عيب علي الفريق كله;toxic;ar;['انت', 'عيب', 'علي', 'الفريق', 'كله']
انت عبء;toxic;ar;['انت', 'عبء']
كل مجهودك ضايع هباء;toxic;ar;['كل', 'مجهودك', 'ضايع', 'هباء']
محدش عايز يسمعك هنا;toxic;ar;['محدش', 'عايز', 'يسمعك', 'هنا']
انت كارثه حقيقيه;toxic;ar;['انت', 'كارثه', 'حقيقيه']
كل كلامك فاضي وما لهش معني;toxic;ar;['كل', 'كلامك', 'فاضي', 'وما', 'لهش', 'معني']
دايمًا بتسبب مشاكل للاخرين;toxic;ar;['دايمًا', 'بتسبب', 'مشاكل', 'للاخرين']
انت اخر حد ممكن يعتمد عليه;toxic;ar;['انت', 'اخر', 'حد', 'ممكن', 'يعتمد', 'عليه']
دماغك مش كويسه علي الاطلاق;toxic;ar;['دماغك', 'مش', 'كويسه', 'علي', 'الاطلاق']
كل محاولاتك هتبوظ في الاخر;toxic;ar;['كل', 'محاولاتك', 'هتبوظ', 'في', 'الاخر']
مستواك اقل من اللازم;toxic;ar;['مستواك', 'اقل', 'من', 'اللازم']
محدش يحترمك بسبب تصرفاتك;toxic;ar;['محدش', 'يحترمك', 'بسبب', 'تصرفاتك']
كل مشروع تشترك فيه يبقي خراب;toxic;ar;['كل', 'مشروع', 'تشترك', 'فيه', 'يبقي', 'خراب']
انت سبب كل المشاكل في الفريق;toxic;ar;['انت', 'سبب', 'كل', 'المشاكل', 'في', 'الفريق']
مستواك ضعيف جدًا في كل حاجه;toxic;ar;['مستواك', 'ضعيف', 'جدًا', 'في', 'كل', 'حاجه']
محدش مهتم برايك;toxic;ar;['محدش', 'مهتم', 'برايك']
انت محبط وبس;toxic;ar;['انت', 'محبط', 'وبس']
كل حد حواليك بيتعب بسببك;toxic;ar;['كل', 'حد', 'حواليك', 'بيتعب', 'بسببك']
انت بلا قيمه قدام زملايك;toxic;ar;['انت', 'بلا', 'قيمه', 'قدام', 'زملايك']
كل جمله تقولها سخيفه;toxic;ar;['كل', 'جمله', 'تقولها', 'سخيفه']
انت اسوا عضو في الفريق;toxic;ar;['انت', 'اسوا', 'عضو', 'في', 'الفريق']
كل خطوه منك تسبب مشاكل;toxic;ar;['كل', 'خطوه', 'منك', 'تسبب', 'مشاكل']
مش هتتعلم حاجه ابدًا;toxic;ar;['مش', 'هتتعلم', 'حاجه', 'ابدًا']
دماغك شبه العدم;toxic;ar;['دماغك', 'شبه', 'العدم']
انت عيب علي الكليه كلها;toxic;ar;['انت', 'عيب', 'علي', 'الكليه', 'كلها']
كل مره تحاول تفشل;toxic;ar;['كل', 'مره', 'تحاول', 'تفشل']
محدش عايز يشتغل معاك;toxic;ar;['محدش', 'عايز', 'يشتغل', 'معاك']
انت شخص سيء بشكل غير طبيعي;toxic;ar;['انت', 'شخص', 'سيء', 'بشكل', 'غير', 'طبيعي']
كل حاجه تعملها تبقي كارثه;toxic;ar;['كل', 'حاجه', 'تعملها', 'تبقي', 'كارثه']
مستواك عقلي ضعيف جدًا;toxic;ar;['مستواك', 'عقلي', 'ضعيف', 'جدًا']
كل جهدك ضايع;toxic;ar;['كل', 'جهدك', 'ضايع']
كل حد شايفك بيكرهك;toxic;ar;['كل', 'حد', 'شايفك', 'بيكرهك']
نت اسوا شخص في الفريق;toxic;ar;['نت', 'اسوا', 'شخص', 'في', 'الفريق']
كل محاولاتك فاشله;toxic;ar;['كل', 'محاولاتك', 'فاشله']
محدش يثق فيك ابدًا;toxic;ar;['محدش', 'يثق', 'فيك', 'ابدًا']
كل كلامك سخيف وواطي;toxic;ar;['كل', 'كلامك', 'سخيف', 'وواطي']
دماغك فاضيه;toxic;ar;['دماغك', 'فاضيه']
كل مره تحاول فيها تعمل حاجه بتبوظ;toxic;ar;['كل', 'مره', 'تحاول', 'فيها', 'تعمل', 'حاجه', 'بتبوظ']
انت سبب الفشل في كل حاجه;toxic;ar;['انت', 'سبب', 'الفشل', 'في', 'كل', 'حاجه']
كل حد حواليك بيتضايق منك;toxic;ar;['كل', 'حد', 'حواليك', 'بيتضايق', 'منك']
انت عبء علي الفريق كله;toxic;ar;['انت', 'عبء', 'علي', 'الفريق', 'كله']
كل حاجه تقولها غلط;toxic;ar;['كل', 'حاجه', 'تقولها', 'غلط']
اي خطوه منك كارثه;toxic;ar;['اي', 'خطوه', 'منك', 'كارثه']
مستواك ولا حاجه،;toxic;ar;['مستواك', 'ولا', 'حاجه،']
youre completely useless;toxic;en;['youre', 'completely', 'useless']
nobody cares about your opinion;toxic;en;['nobody', 'cares', 'about', 'your', 'opinion']
youre a joke;toxic;en;['youre', 'a', 'joke']
that idea is pathetic;toxic;en;['that', 'idea', 'is', 'pathetic']
youre hopeless;toxic;en;['youre', 'hopeless']
stop being so weak;toxic;en;['stop', 'being', 'so', 'weak']
you cant do anything right;toxic;en;['you', 'cant', 'do', 'anything', 'right']
that was the dumbest thing ever;toxic;en;['that', 'was', 'the', 'dumbest', 'thing', 'ever']
youre embarrassing yourself;toxic;en;['youre', 'embarrassing', 'yourself']
no one likes you;toxic;en;['no', 'one', 'likes', 'you']
nice try loser;toxic;en;['nice', 'try', 'loser']
nobody asked for your input;toxic;en;['nobody', 'asked', 'for', 'your', 'input']
just stop talking;toxic;en;['just', 'stop', 'talking']
your opinion doesnt matter;toxic;en;['your', 'opinion', 'doesnt', 'matter']
your opinion doesnt matter;toxic;en;['your', 'opinion', 'doesnt', 'matter']
ill make sure you fail;toxic;en;['ill', 'make', 'sure', 'you', 'fail']
youre lazy;toxic;en;['youre', 'lazy']
that was a stupid decision;toxic;en;['that', 'was', 'a', 'stupid', 'decision']
youll never succeed;toxic;en;['youll', 'never', 'succeed']
youre not good enough;toxic;en;['youre', 'not', 'good', 'enough']
stop trying youll never fit in;toxic;en;['stop', 'trying', 'youll', 'never', 'fit', 'in']
that was stupid;toxic;en;['that', 'was', 'stupid']
i dont care about you;toxic;en;['i', 'dont', 'care', 'about', 'you']
youll never measure up;toxic;en;['youll', 'never', 'measure', 'up']
